"Review","FinancialYear","HBR","CA","MotherAgeGroup","ValidReviews","CurrentFeedingExclusiveBreast","CurrentFeedingMixed","CurrentFeedingFormula","CurrentFeedingOther","CurrentFeedingCowsMilk","CurrentFeedingOverallBreast","EverBreastfed","ExclusivelyBreastfedSinceBirth"
"First Visit","2023/24","RA2704","RA2704","under 20",1,0,0,1,0,0,0,0,0
"First Visit","2023/24","RA2704","RA2704","20-24",7,1,1,5,0,0,2,2,1
"First Visit","2023/24","RA2704","RA2704","25-29",7,5,1,1,0,0,6,6,4
"First Visit","2023/24","RA2704","RA2704","30-34",7,5,2,0,0,0,7,7,5
"First Visit","2023/24","RA2704","RA2704","35-39",8,3,2,3,0,0,5,6,3
"First Visit","2023/24","RA2704","RA2704","40 and over",3,2,0,1,0,0,2,3,2
"First Visit","2023/24","S08000015","S12000008","under 20",23,2,4,17,0,0,6,7,2
"First Visit","2023/24","S08000015","S12000008","20-24",160,26,22,112,0,0,48,63,26
"First Visit","2023/24","S08000015","S12000008","25-29",271,73,35,162,1,0,108,141,65
"First Visit","2023/24","S08000015","S12000008","30-34",332,102,45,185,0,0,147,187,88
"First Visit","2023/24","S08000015","S12000008","35-39",176,58,39,79,0,0,97,120,49
"First Visit","2023/24","S08000015","S12000008","40 and over",15,4,5,6,0,0,9,10,4
"First Visit","2023/24","S08000015","S12000008","Invalid or missing",4,1,0,3,0,0,1,1,1
"First Visit","2023/24","S08000015","S12000021","under 20",33,4,4,25,0,0,8,11,4
"First Visit","2023/24","S08000015","S12000021","20-24",130,22,15,93,0,0,37,53,21
"First Visit","2023/24","S08000015","S12000021","25-29",293,94,41,158,0,0,135,178,88
"First Visit","2023/24","S08000015","S12000021","30-34",297,102,43,152,0,0,145,191,92
"First Visit","2023/24","S08000015","S12000021","35-39",138,48,22,68,0,0,70,93,45
"First Visit","2023/24","S08000015","S12000021","40 and over",35,12,9,14,0,0,21,25,12
"First Visit","2023/24","S08000015","S12000021","Invalid or missing",2,1,0,1,0,0,1,2,1
"First Visit","2023/24","S08000015","S12000028","under 20",21,3,2,16,0,0,5,9,3
"First Visit","2023/24","S08000015","S12000028","20-24",96,19,12,65,0,0,31,39,17
"First Visit","2023/24","S08000015","S12000028","25-29",182,65,20,97,0,0,85,103,58
"First Visit","2023/24","S08000015","S12000028","30-34",273,98,51,124,0,0,149,175,94
"First Visit","2023/24","S08000015","S12000028","35-39",169,73,26,70,0,0,99,115,71
"First Visit","2023/24","S08000015","S12000028","40 and over",27,10,8,9,0,0,18,20,10
"First Visit","2023/24","S08000016","S12000026","under 20",16,6,2,8,0,0,8,12,6
"First Visit","2023/24","S08000016","S12000026","20-24",92,33,14,45,0,0,47,60,31
"First Visit","2023/24","S08000016","S12000026","25-29",195,94,27,74,0,0,121,142,90
"First Visit","2023/24","S08000016","S12000026","30-34",285,187,30,68,0,0,217,243,179
"First Visit","2023/24","S08000016","S12000026","35-39",156,83,28,45,0,0,111,119,80
"First Visit","2023/24","S08000016","S12000026","40 and over",40,23,8,9,0,0,31,36,22
"First Visit","2023/24","S08000017","S12000006","under 20",34,6,6,22,0,0,12,17,3
"First Visit","2023/24","S08000017","S12000006","20-24",140,32,16,92,0,0,48,70,27
"First Visit","2023/24","S08000017","S12000006","25-29",338,105,41,191,1,0,146,195,93
"First Visit","2023/24","S08000017","S12000006","30-34",370,161,49,159,1,0,210,248,150
"First Visit","2023/24","S08000017","S12000006","35-39",160,73,21,66,0,0,94,112,65
"First Visit","2023/24","S08000017","S12000006","40 and over",39,21,5,13,0,0,26,29,20
"First Visit","2023/24","S08000017","S12000006","Invalid or missing",1,0,1,0,0,0,1,1,0
"First Visit","2023/24","S08000019","S12000005","under 20",18,0,2,16,0,0,2,5,0
"First Visit","2023/24","S08000019","S12000005","20-24",64,7,9,48,0,0,16,22,6
"First Visit","2023/24","S08000019","S12000005","25-29",123,30,18,75,0,0,48,60,27
"First Visit","2023/24","S08000019","S12000005","30-34",131,48,18,65,0,0,66,81,46
"First Visit","2023/24","S08000019","S12000005","35-39",73,29,11,33,0,0,40,46,29
"First Visit","2023/24","S08000019","S12000005","40 and over",20,7,7,6,0,0,14,17,7
"First Visit","2023/24","S08000019","S12000014","under 20",31,3,3,25,0,0,6,8,3
"First Visit","2023/24","S08000019","S12000014","20-24",165,34,31,100,0,0,65,80,28
"First Visit","2023/24","S08000019","S12000014","25-29",356,113,68,175,0,0,181,208,98
"First Visit","2023/24","S08000019","S12000014","30-34",461,164,96,201,0,0,260,295,144
"First Visit","2023/24","S08000019","S12000014","35-39",219,80,35,103,1,0,115,138,72
"First Visit","2023/24","S08000019","S12000014","40 and over",53,14,14,25,0,0,28,35,12
"First Visit","2023/24","S08000019","S12000014","Invalid or missing",1,0,0,1,0,0,0,0,0
"First Visit","2023/24","S08000019","S12000030","under 20",22,6,2,14,0,0,8,11,6
"First Visit","2023/24","S08000019","S12000030","20-24",49,12,2,35,0,0,14,16,11
"First Visit","2023/24","S08000019","S12000030","25-29",146,58,26,62,0,0,84,94,47
"First Visit","2023/24","S08000019","S12000030","30-34",211,106,41,64,0,0,147,159,94
"First Visit","2023/24","S08000019","S12000030","35-39",158,86,27,45,0,0,113,123,79
"First Visit","2023/24","S08000019","S12000030","40 and over",41,24,10,7,0,0,34,36,20
"First Visit","2023/24","S08000020","S12000020","under 20",13,0,1,11,1,0,1,4,0
"First Visit","2023/24","S08000020","S12000020","20-24",59,24,6,29,0,0,30,36,21
"First Visit","2023/24","S08000020","S12000020","25-29",155,60,22,73,0,0,82,105,57
"First Visit","2023/24","S08000020","S12000020","30-34",168,89,26,53,0,0,115,127,81
"First Visit","2023/24","S08000020","S12000020","35-39",76,38,14,22,2,0,52,61,38
"First Visit","2023/24","S08000020","S12000020","40 and over",18,11,3,4,0,0,14,15,7
"First Visit","2023/24","S08000020","S12000033","under 20",33,10,5,18,0,0,15,18,9
"First Visit","2023/24","S08000020","S12000033","20-24",153,42,21,89,1,0,63,89,33
"First Visit","2023/24","S08000020","S12000033","25-29",413,194,88,131,0,0,282,316,176
"First Visit","2023/24","S08000020","S12000033","30-34",605,341,129,133,2,0,470,512,318
"First Visit","2023/24","S08000020","S12000033","35-39",370,208,86,76,0,0,294,313,190
"First Visit","2023/24","S08000020","S12000033","40 and over",97,38,42,17,0,0,80,83,31
"First Visit","2023/24","S08000020","S12000033","Invalid or missing",7,4,1,2,0,0,5,6,4
"First Visit","2023/24","S08000020","S12000034","under 20",19,3,3,13,0,0,6,8,3
"First Visit","2023/24","S08000020","S12000034","20-24",158,41,25,91,1,0,66,87,38
"First Visit","2023/24","S08000020","S12000034","25-29",446,198,64,181,3,0,262,331,181
"First Visit","2023/24","S08000020","S12000034","30-34",642,343,106,190,3,0,449,513,303
"First Visit","2023/24","S08000020","S12000034","35-39",321,167,78,75,1,0,245,269,157
"First Visit","2023/24","S08000020","S12000034","40 and over",86,46,18,22,0,0,64,73,41
"First Visit","2023/24","S08000020","S12000034","Invalid or missing",3,1,1,1,0,0,2,3,1
"First Visit","2023/24","S08000022","S12000017","under 20",35,9,2,24,0,0,11,14,9
"First Visit","2023/24","S08000022","S12000017","20-24",229,62,31,136,0,0,93,114,57
"First Visit","2023/24","S08000022","S12000017","25-29",457,182,64,211,0,0,246,292,165
"First Visit","2023/24","S08000022","S12000017","30-34",598,314,94,190,0,0,408,469,291
"First Visit","2023/24","S08000022","S12000017","35-39",369,193,66,110,0,0,259,289,175
"First Visit","2023/24","S08000022","S12000017","40 and over",94,40,21,32,1,0,61,76,38
"First Visit","2023/24","S08000022","S12000017","Invalid or missing",3,0,2,1,0,0,2,2,0
"First Visit","2023/24","S08000022","S12000035","under 20",13,2,3,8,0,0,5,7,2
"First Visit","2023/24","S08000022","S12000035","20-24",58,16,11,30,1,0,27,35,15
"First Visit","2023/24","S08000022","S12000035","25-29",139,68,21,50,0,0,89,100,53
"First Visit","2023/24","S08000022","S12000035","30-34",206,99,38,69,0,0,137,159,91
"First Visit","2023/24","S08000022","S12000035","35-39",120,50,26,44,0,0,76,83,41
"First Visit","2023/24","S08000022","S12000035","40 and over",31,20,8,3,0,0,28,28,16
"First Visit","2023/24","S08000022","S12000035","Invalid or missing",3,2,1,0,0,0,3,3,2
"First Visit","2023/24","S08000024","S12000010","under 20",7,1,1,5,0,0,2,5,1
"First Visit","2023/24","S08000024","S12000010","20-24",88,16,11,61,0,0,27,35,15
"First Visit","2023/24","S08000024","S12000010","25-29",234,96,55,83,0,0,151,170,82
"First Visit","2023/24","S08000024","S12000010","30-34",354,164,90,100,0,0,254,285,132
"First Visit","2023/24","S08000024","S12000010","35-39",227,117,56,54,0,0,173,189,104
"First Visit","2023/24","S08000024","S12000010","40 and over",49,29,9,10,1,0,38,43,25
"First Visit","2023/24","S08000024","S12000010","Invalid or missing",3,1,1,1,0,0,2,2,1
"First Visit","2023/24","S08000024","S12000019","under 20",28,2,5,21,0,0,7,11,1
"First Visit","2023/24","S08000024","S12000019","20-24",96,20,28,48,0,0,48,57,18
"First Visit","2023/24","S08000024","S12000019","25-29",236,66,52,117,1,0,118,140,59
"First Visit","2023/24","S08000024","S12000019","30-34",373,153,95,125,0,0,248,282,128
"First Visit","2023/24","S08000024","S12000019","35-39",196,81,44,71,0,0,125,146,66
"First Visit","2023/24","S08000024","S12000019","40 and over",48,18,16,14,0,0,34,38,13
"First Visit","2023/24","S08000024","S12000036","under 20",66,11,16,38,1,0,27,35,10
"First Visit","2023/24","S08000024","S12000036","20-24",292,84,82,126,0,0,166,192,72
"First Visit","2023/24","S08000024","S12000036","25-29",746,321,217,208,0,0,538,587,266
"First Visit","2023/24","S08000024","S12000036","30-34",1594,838,493,261,2,0,1331,1400,726
"First Visit","2023/24","S08000024","S12000036","35-39",1122,621,350,149,2,0,971,1007,553
"First Visit","2023/24","S08000024","S12000036","40 and over",290,137,116,36,1,0,253,266,122
"First Visit","2023/24","S08000024","S12000036","Invalid or missing",3,1,2,0,0,0,3,3,1
"First Visit","2023/24","S08000024","S12000040","under 20",50,10,2,38,0,0,12,23,10
"First Visit","2023/24","S08000024","S12000040","20-24",202,41,33,127,1,0,74,101,34
"First Visit","2023/24","S08000024","S12000040","25-29",436,159,78,198,1,0,237,286,140
"First Visit","2023/24","S08000024","S12000040","30-34",613,270,104,239,0,0,374,438,248
"First Visit","2023/24","S08000024","S12000040","35-39",346,143,86,116,1,0,229,275,122
"First Visit","2023/24","S08000024","S12000040","40 and over",69,37,17,15,0,0,54,60,32
"First Visit","2023/24","S08000024","S12000040","Invalid or missing",3,2,0,1,0,0,2,2,1
"First Visit","2023/24","S08000025","S12000023","under 20",1,0,1,0,0,0,1,1,0
"First Visit","2023/24","S08000025","S12000023","20-24",16,9,3,4,0,0,12,14,8
"First Visit","2023/24","S08000025","S12000023","25-29",43,29,5,9,0,0,34,40,24
"First Visit","2023/24","S08000025","S12000023","30-34",60,40,8,12,0,0,48,54,38
"First Visit","2023/24","S08000025","S12000023","35-39",35,21,5,9,0,0,26,28,20
"First Visit","2023/24","S08000025","S12000023","40 and over",7,4,3,0,0,0,7,7,4
"First Visit","2023/24","S08000025","S12000023","Invalid or missing",2,1,1,0,0,0,2,2,1
"First Visit","2023/24","S08000026","S12000027","under 20",1,1,0,0,0,0,1,1,1
"First Visit","2023/24","S08000026","S12000027","20-24",26,11,6,9,0,0,17,19,10
"First Visit","2023/24","S08000026","S12000027","25-29",55,27,13,15,0,0,40,44,24
"First Visit","2023/24","S08000026","S12000027","30-34",51,34,5,12,0,0,39,44,30
"First Visit","2023/24","S08000026","S12000027","35-39",39,27,5,7,0,0,32,36,22
"First Visit","2023/24","S08000026","S12000027","40 and over",10,6,3,1,0,0,9,9,6
"First Visit","2023/24","S08000028","S12000013","under 20",2,0,0,2,0,0,0,1,0
"First Visit","2023/24","S08000028","S12000013","20-24",15,5,2,8,0,0,7,8,4
"First Visit","2023/24","S08000028","S12000013","25-29",42,20,5,17,0,0,25,30,18
"First Visit","2023/24","S08000028","S12000013","30-34",63,31,12,20,0,0,43,49,27
"First Visit","2023/24","S08000028","S12000013","35-39",34,17,7,10,0,0,24,27,10
"First Visit","2023/24","S08000028","S12000013","40 and over",9,3,1,5,0,0,4,5,3
"First Visit","2023/24","S08000028","S12000013","Invalid or missing",1,1,0,0,0,0,1,1,1
"First Visit","2023/24","S08000029","S12000047","under 20",93,13,11,68,1,0,24,35,8
"First Visit","2023/24","S08000029","S12000047","20-24",389,89,48,252,0,0,137,189,83
"First Visit","2023/24","S08000029","S12000047","25-29",810,303,122,384,1,0,425,512,267
"First Visit","2023/24","S08000029","S12000047","30-34",938,428,170,338,2,0,598,690,
"First Visit","2023/24","S08000029","S12000047","35-39",496,224,102,170,0,0,326,378,199
"First Visit","2023/24","S08000029","S12000047","40 and over",106,38,25,43,0,0,63,75,29
"First Visit","2023/24","S08000029","S12000047","Invalid or missing",3,1,0,2,0,0,1,2,
"First Visit","2023/24","S08000030","S12000041","under 20",28,3,3,22,0,0,6,13,3
"First Visit","2023/24","S08000030","S12000041","20-24",108,32,12,64,0,0,44,56,26
"First Visit","2023/24","S08000030","S12000041","25-29",237,101,38,98,0,0,139,163,90
"First Visit","2023/24","S08000030","S12000041","30-34",257,121,48,87,1,0,169,185,111
"First Visit","2023/24","S08000030","S12000041","35-39",138,68,17,53,0,0,85,99,62
"First Visit","2023/24","S08000030","S12000041","40 and over",27,11,6,10,0,0,17,21,10
"First Visit","2023/24","S08000030","S12000041","Invalid or missing",3,1,0,2,0,0,1,2,1
"First Visit","2023/24","S08000030","S12000042","under 20",61,13,8,40,0,0,21,29,13
"First Visit","2023/24","S08000030","S12000042","20-24",170,51,20,99,0,0,71,88,51
"First Visit","2023/24","S08000030","S12000042","25-29",380,129,83,168,0,0,212,236,127
"First Visit","2023/24","S08000030","S12000042","30-34",420,185,69,163,3,0,254,291,184
"First Visit","2023/24","S08000030","S12000042","35-39",233,91,60,81,1,0,151,170,91
"First Visit","2023/24","S08000030","S12000042","40 and over",38,13,12,13,0,0,25,30,13
"First Visit","2023/24","S08000030","S12000042","Invalid or missing",2,0,2,0,0,0,2,2,0
"First Visit","2023/24","S08000030","S12000048","under 20",26,6,2,18,0,0,8,12,6
"First Visit","2023/24","S08000030","S12000048","20-24",127,49,20,58,0,0,69,82,42
"First Visit","2023/24","S08000030","S12000048","25-29",276,134,42,100,0,0,176,208,116
"First Visit","2023/24","S08000030","S12000048","30-34",421,218,73,129,1,0,291,326,196
"First Visit","2023/24","S08000030","S12000048","35-39",210,116,43,51,0,0,159,174,108
"First Visit","2023/24","S08000030","S12000048","40 and over",58,26,12,20,0,0,38,42,24
"First Visit","2023/24","S08000030","S12000048","Invalid or missing",3,2,0,1,0,0,2,2,
"First Visit","2023/24","S08000031","S12000011","under 20",8,1,3,4,0,0,4,4,1
"First Visit","2023/24","S08000031","S12000011","20-24",47,13,8,26,0,0,21,26,12
"First Visit","2023/24","S08000031","S12000011","25-29",145,45,37,63,0,0,82,96,43
"First Visit","2023/24","S08000031","S12000011","30-34",335,165,67,103,0,0,232,261,155
"First Visit","2023/24","S08000031","S12000011","35-39",234,110,64,60,0,0,174,190,104
"First Visit","2023/24","S08000031","S12000011","40 and over",48,23,15,10,0,0,38,39,22
"First Visit","2023/24","S08000031","S12000011","Invalid or missing",1,1,0,0,0,0,1,1,1
"First Visit","2023/24","S08000031","S12000018","under 20",14,2,2,10,0,0,4,5,2
"First Visit","2023/24","S08000031","S12000018","20-24",82,11,8,63,0,0,19,26,11
"First Visit","2023/24","S08000031","S12000018","25-29",169,40,23,106,0,0,63,83,36
"First Visit","2023/24","S08000031","S12000018","30-34",220,54,46,120,0,0,100,116,51
"First Visit","2023/24","S08000031","S12000018","35-39",105,28,20,57,0,0,48,58,23
"First Visit","2023/24","S08000031","S12000018","40 and over",17,6,6,5,0,0,12,13,6
"First Visit","2023/24","S08000031","S12000018","Invalid or missing",1,0,0,1,0,0,0,1,0
"First Visit","2023/24","S08000031","S12000038","under 20",34,2,6,26,0,0,8,12,2
"First Visit","2023/24","S08000031","S12000038","20-24",153,40,21,92,0,0,61,75,39
"First Visit","2023/24","S08000031","S12000038","25-29",414,127,79,208,0,0,206,243,117
"First Visit","2023/24","S08000031","S12000038","30-34",631,220,132,279,0,0,352,418,210
"First Visit","2023/24","S08000031","S12000038","35-39",382,147,86,149,0,0,233,270,134
"First Visit","2023/24","S08000031","S12000038","40 and over",67,26,17,24,0,0,43,52,23
"First Visit","2023/24","S08000031","S12000038","Invalid or missing",1,0,1,0,0,0,1,1,0
"First Visit","2023/24","S08000031","S12000039","under 20",27,2,2,23,0,0,4,6,2
"First Visit","2023/24","S08000031","S12000039","20-24",124,12,15,97,0,0,27,40,12
"First Visit","2023/24","S08000031","S12000039","25-29",228,66,27,135,0,0,93,104,60
"First Visit","2023/24","S08000031","S12000039","30-34",254,78,34,141,1,0,112,137,70
"First Visit","2023/24","S08000031","S12000039","35-39",130,35,33,62,0,0,68,81,33
"First Visit","2023/24","S08000031","S12000039","40 and over",33,7,7,19,0,0,14,17,7
"First Visit","2023/24","S08000031","S12000045","under 20",8,2,1,5,0,0,3,4,2
"First Visit","2023/24","S08000031","S12000045","20-24",42,6,10,26,0,0,16,19,5
"First Visit","2023/24","S08000031","S12000045","25-29",121,39,24,58,0,0,63,75,37
"First Visit","2023/24","S08000031","S12000045","30-34",343,169,68,106,0,0,237,266,165
"First Visit","2023/24","S08000031","S12000045","35-39",271,133,66,71,1,0,199,217,128
"First Visit","2023/24","S08000031","S12000045","40 and over",70,36,14,20,0,0,50,54,35
"First Visit","2023/24","S08000031","S12000045","Invalid or missing",3,3,0,0,0,0,3,3,
"First Visit","2023/24","S08000031","S12000049","under 20",118,15,31,72,0,0,46,56,13
"First Visit","2023/24","S08000031","S12000049","20-24",636,145,151,340,0,0,296,337,134
"First Visit","2023/24","S08000031","S12000049","25-29",1517,488,432,597,0,0,920,1006,454
"First Visit","2023/24","S08000031","S12000049","30-34",2113,849,578,684,2,0,1427,1556,805
"First Visit","2023/24","S08000031","S12000049","35-39",1170,460,327,383,0,0,787,862,431
"First Visit","2023/24","S08000031","S12000049","40 and over",308,105,113,90,0,0,218,238,98
"First Visit","2023/24","S08000031","S12000049","Invalid or missing",12,4,5,3,0,0,9,10,
"First Visit","2023/24","S08000032","S12000029","under 20",50,7,4,39,0,0,11,17,5
"First Visit","2023/24","S08000032","S12000029","20-24",301,45,33,223,0,0,78,111,33
"First Visit","2023/24","S08000032","S12000029","25-29",769,176,149,443,1,0,325,403,142
"First Visit","2023/24","S08000032","S12000029","30-34",1004,337,200,463,4,0,537,626,274
"First Visit","2023/24","S08000032","S12000029","35-39",605,197,137,271,0,0,334,399,169
"First Visit","2023/24","S08000032","S12000029","40 and over",128,55,31,42,0,0,86,95,42
"First Visit","2023/24","S08000032","S12000029","Invalid or missing",16,3,6,7,0,0,9,10,3
"First Visit","2023/24","S08000032","S12000050","under 20",82,8,11,63,0,0,19,24,5
"First Visit","2023/24","S08000032","S12000050","20-24",420,71,42,307,0,0,113,162,58
"First Visit","2023/24","S08000032","S12000050","25-29",861,197,139,524,1,0,336,430,162
"First Visit","2023/24","S08000032","S12000050","30-34",1001,278,171,552,0,0,449,550,237
"First Visit","2023/24","S08000032","S12000050","35-39",511,142,98,271,0,0,240,293,123
"First Visit","2023/24","S08000032","S12000050","40 and over",100,21,23,56,0,0,44,51,19
"First Visit","2023/24","S08000032","S12000050","Invalid or missing",15,3,3,9,0,0,6,7,2
"First Visit","2022/23","RA2704","RA2704","under 20",1,0,0,1,0,0,0,1,0
"First Visit","2022/23","RA2704","RA2704","20-24",4,3,0,1,0,0,3,3,3
"First Visit","2022/23","RA2704","RA2704","25-29",4,1,0,3,0,0,1,1,0
"First Visit","2022/23","RA2704","RA2704","30-34",6,3,0,3,0,0,3,5,3
"First Visit","2022/23","RA2704","RA2704","35-39",3,1,2,0,0,0,3,3,0
"First Visit","2022/23","S08000015","S12000008","under 20",30,4,3,23,0,0,7,11,2
"First Visit","2022/23","S08000015","S12000008","20-24",150,29,7,114,0,0,36,53,27
"First Visit","2022/23","S08000015","S12000008","25-29",309,72,28,209,0,0,100,151,61
"First Visit","2022/23","S08000015","S12000008","30-34",323,97,52,172,2,0,149,195,86
"First Visit","2022/23","S08000015","S12000008","35-39",155,52,31,71,1,0,83,97,51
"First Visit","2022/23","S08000015","S12000008","40 and over",33,13,6,14,0,0,19,21,13
"First Visit","2022/23","S08000015","S12000021","under 20",35,1,1,33,0,0,2,7,1
"First Visit","2022/23","S08000015","S12000021","20-24",140,22,16,102,0,0,38,52,19
"First Visit","2022/23","S08000015","S12000021","25-29",263,60,40,163,0,0,100,132,53
"First Visit","2022/23","S08000015","S12000021","30-34",330,87,64,179,0,0,151,192,81
"First Visit","2022/23","S08000015","S12000021","35-39",167,44,41,82,0,0,85,104,41
"First Visit","2022/23","S08000015","S12000021","40 and over",36,12,10,14,0,0,22,27,11
"First Visit","2022/23","S08000015","S12000021","Invalid or missing",1,0,1,0,0,0,1,1,0
"First Visit","2022/23","S08000015","S12000028","under 20",23,6,0,17,0,0,6,7,4
"First Visit","2022/23","S08000015","S12000028","20-24",90,19,4,67,0,0,23,38,18
"First Visit","2022/23","S08000015","S12000028","25-29",187,55,26,106,0,0,81,101,51
"First Visit","2022/23","S08000015","S12000028","30-34",232,87,25,120,0,0,112,144,80
"First Visit","2022/23","S08000015","S12000028","35-39",144,61,33,48,2,0,94,110,57
"First Visit","2022/23","S08000015","S12000028","40 and over",35,14,4,17,0,0,18,21,14
"First Visit","2022/23","S08000016","S12000026","under 20",16,4,2,10,0,0,6,11,4
"First Visit","2022/23","S08000016","S12000026","20-24",108,36,22,49,1,0,58,78,32
"First Visit","2022/23","S08000016","S12000026","25-29",176,77,29,70,0,0,106,127,73
"First Visit","2022/23","S08000016","S12000026","30-34",273,164,34,73,2,0,198,226,154
"First Visit","2022/23","S08000016","S12000026","35-39",160,99,21,39,1,0,120,135,93
"First Visit","2022/23","S08000016","S12000026","40 and over",37,22,6,9,0,0,28,29,22
"First Visit","2022/23","S08000017","S12000006","under 20",34,4,5,25,0,0,9,13,4
"First Visit","2022/23","S08000017","S12000006","20-24",149,32,11,106,0,0,43,65,30
"First Visit","2022/23","S08000017","S12000006","25-29",341,115,43,183,0,0,158,204,105
"First Visit","2022/23","S08000017","S12000006","30-34",361,155,38,168,0,0,193,235,145
"First Visit","2022/23","S08000017","S12000006","35-39",157,62,24,71,0,0,86,102,55
"First Visit","2022/23","S08000017","S12000006","40 and over",36,16,6,14,0,0,22,27,13
"First Visit","2022/23","S08000017","S12000006","Invalid or missing",2,1,0,1,0,0,1,1,1
"First Visit","2022/23","S08000019","S12000005","under 20",13,0,0,13,0,0,0,2,0
"First Visit","2022/23","S08000019","S12000005","20-24",74,15,8,51,0,0,23,28,14
"First Visit","2022/23","S08000019","S12000005","25-29",137,32,29,76,0,0,61,78,28
"First Visit","2022/23","S08000019","S12000005","30-34",120,45,16,59,0,0,61,72,40
"First Visit","2022/23","S08000019","S12000005","35-39",75,23,25,27,0,0,48,52,21
"First Visit","2022/23","S08000019","S12000005","40 and over",11,5,4,2,0,0,9,9,5
"First Visit","2022/23","S08000019","S12000014","under 20",42,10,5,27,0,0,15,15,9
"First Visit","2022/23","S08000019","S12000014","20-24",173,36,17,120,0,0,53,77,30
"First Visit","2022/23","S08000019","S12000014","25-29",377,103,64,209,1,0,167,218,87
"First Visit","2022/23","S08000019","S12000014","30-34",469,169,72,228,0,0,241,288,151
"First Visit","2022/23","S08000019","S12000014","35-39",232,83,45,104,0,0,128,153,70
"First Visit","2022/23","S08000019","S12000014","40 and over",47,16,13,18,0,0,29,31,14
"First Visit","2022/23","S08000019","S12000030","under 20",8,1,1,6,0,0,2,3,1
"First Visit","2022/23","S08000019","S12000030","20-24",72,21,10,41,0,0,31,36,18
"First Visit","2022/23","S08000019","S12000030","25-29",135,44,21,70,0,0,65,79,40
"First Visit","2022/23","S08000019","S12000030","30-34",239,127,43,69,0,0,170,192,113
"First Visit","2022/23","S08000019","S12000030","35-39",157,87,25,43,2,0,112,126,79
"First Visit","2022/23","S08000019","S12000030","40 and over",45,25,7,13,0,0,32,33,24
"First Visit","2022/23","S08000020","S12000020","under 20",12,2,1,9,0,0,3,4,2
"First Visit","2022/23","S08000020","S12000020","20-24",67,15,7,44,1,0,22,34,14
"First Visit","2022/23","S08000020","S12000020","25-29",160,72,23,65,0,0,95,107,65
"First Visit","2022/23","S08000020","S12000020","30-34",175,76,21,78,0,0,97,115,75
"First Visit","2022/23","S08000020","S12000020","35-39",84,54,13,17,0,0,67,69,50
"First Visit","2022/23","S08000020","S12000020","40 and over",25,11,4,10,0,0,15,18,10
"First Visit","2022/23","S08000020","S12000033","under 20",25,7,5,13,0,0,12,16,7
"First Visit","2022/23","S08000020","S12000033","20-24",158,54,19,85,0,0,73,90,49
"First Visit","2022/23","S08000020","S12000033","25-29",385,172,74,139,0,0,246,283,152
"First Visit","2022/23","S08000020","S12000033","30-34",527,287,106,132,2,0,393,430,269
"First Visit","2022/23","S08000020","S12000033","35-39",296,166,69,61,0,0,235,250,149
"First Visit","2022/23","S08000020","S12000033","40 and over",59,25,16,18,0,0,41,47,22
"First Visit","2022/23","S08000020","S12000033","Invalid or missing",2,0,1,1,0,0,1,1,0
"First Visit","2022/23","S08000020","S12000034","under 20",16,6,1,9,0,0,7,10,6
"First Visit","2022/23","S08000020","S12000034","20-24",167,53,18,96,0,0,71,99,46
"First Visit","2022/23","S08000020","S12000034","25-29",455,223,60,170,2,0,283,338,194
"First Visit","2022/23","S08000020","S12000034","30-34",702,371,94,236,1,0,465,562,337
"First Visit","2022/23","S08000020","S12000034","35-39",357,198,71,88,0,0,269,289,182
"First Visit","2022/23","S08000020","S12000034","40 and over",70,30,17,23,0,0,47,55,27
"First Visit","2022/23","S08000020","S12000034","Invalid or missing",1,1,0,0,0,0,1,1,1
"First Visit","2022/23","S08000022","S12000017","under 20",56,5,9,42,0,0,14,26,4
"First Visit","2022/23","S08000022","S12000017","20-24",229,65,35,129,0,0,100,130,58
"First Visit","2022/23","S08000022","S12000017","25-29",506,214,65,226,1,0,279,337,187
"First Visit","2022/23","S08000022","S12000017","30-34",591,291,88,212,0,0,379,433,265
"First Visit","2022/23","S08000022","S12000017","35-39",396,209,58,128,1,0,267,301,187
"First Visit","2022/23","S08000022","S12000017","40 and over",82,39,14,29,0,0,53,65,33
"First Visit","2022/23","S08000022","S12000035","under 20",9,1,1,7,0,0,2,4,1
"First Visit","2022/23","S08000022","S12000035","20-24",58,17,7,34,0,0,24,33,15
"First Visit","2022/23","S08000022","S12000035","25-29",154,58,26,70,0,0,84,99,53
"First Visit","2022/23","S08000022","S12000035","30-34",199,100,30,69,0,0,130,141,88
"First Visit","2022/23","S08000022","S12000035","35-39",113,55,14,43,1,0,69,80,53
"First Visit","2022/23","S08000022","S12000035","40 and over",27,14,7,6,0,0,21,23,12
"First Visit","2022/23","S08000022","S12000035","Invalid or missing",1,0,0,1,0,0,0,1,0
"First Visit","2022/23","S08000024","S12000010","under 20",11,2,1,8,0,0,3,5,2
"First Visit","2022/23","S08000024","S12000010","20-24",91,21,15,55,0,0,36,50,20
"First Visit","2022/23","S08000024","S12000010","25-29",223,65,42,116,0,0,107,142,60
"First Visit","2022/23","S08000024","S12000010","30-34",360,178,66,116,0,0,244,283,161
"First Visit","2022/23","S08000024","S12000010","35-39",230,113,59,57,1,0,172,199,105
"First Visit","2022/23","S08000024","S12000010","40 and over",59,30,18,11,0,0,48,50,28
"First Visit","2022/23","S08000024","S12000010","Invalid or missing",2,0,0,2,0,0,0,1,0
"First Visit","2022/23","S08000024","S12000019","under 20",15,1,2,12,0,0,3,5,1
